,id,track,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,track_length,acousticness,speechiness,popularity,image
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/0.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/1.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/2.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/3.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/4.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/5.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/6.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/7.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/8.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/9.jpg
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,pins/794/10.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/0.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/1.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/2.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/3.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/4.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/5.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/6.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/7.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/8.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/9.jpg
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98,pins/788/10.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/0.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/1.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/2.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/3.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/4.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/5.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/6.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/7.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/8.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/9.jpg
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95,pins/787/10.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/0.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/1.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/2.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/3.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/4.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/5.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/6.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/7.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/8.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/9.jpg
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88,pins/689/10.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/0.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/1.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/2.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/3.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/4.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/5.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/6.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/7.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/8.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/9.jpg
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88,pins/727/10.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/0.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/1.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/2.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/3.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/4.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/5.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/6.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/7.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/8.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/9.jpg
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87,pins/684/10.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/0.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/1.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/2.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/3.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/4.jpg
