,id,track,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,track_length,acousticness,speechiness,popularity
0,794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100
1,788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98
2,787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,95
3,689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,88
4,727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88
5,684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85
14,773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84
23,764,Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,84
24,497,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,dance pop,2012,146,92,64,-4,9,85,258,3,8,83
25,620,Stressed Out,Twenty One Pilots,modern rock,2015,170,64,73,-6,6,65,202,5,14,83
26,645,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
27,709,Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,83
28,744,Bad Liar,Imagine Dragons,modern rock,2018,178,64,38,-7,37,8,261,7,7,83
29,506,When I Was Your Man,Bruno Mars,dance pop,2012,73,28,61,-9,9,39,214,93,4,82
30,525,Do I Wanna Know?,Arctic Monkeys,garage rock,2013,85,53,55,-8,22,41,272,19,3,82
31,601,Shut Up and Dance,WALK THE MOON,indie pop,2014,128,87,58,-4,26,62,199,1,6,82
32,613,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
33,697,Whatever It Takes,Imagine Dragons,modern rock,2017,135,66,67,-5,12,56,201,4,3,82
34,731,September,"Earth, Wind & Fire",disco,2018,126,83,69,-7,25,98,215,17,3,82
35,748,Shotgun,George Ezra,folk-pop,2018,116,74,67,-5,24,75,201,29,5,82
36,778,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,82
37,487,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,44,243,35,5,81
38,676,Heathens,Twenty One Pilots,modern rock,2016,90,40,73,-9,11,55,196,8,3,81
39,749,New Light,John Mayer,neo mellow,2018,124,69,83,-8,8,85,216,33,3,81
40,760,Always Remember Us This Way,Lady Gaga,dance pop,2018,130,50,55,-6,76,30,210,30,4,81
41,423,Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,-5,9,43,221,2,4,80
42,549,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,80
43,573,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,80
44,679,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
45,693,Sign of the Times,Harry Styles,dance pop,2017,120,60,52,-5,11,22,341,3,3,80
46,710,Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,78,171,7,10,80
47,750,You Say,Lauren Daigle,ccm,2018,148,63,49,-7,9,8,275,68,3,80
48,756,Faded,Alan Walker,electro house,2018,180,63,47,-5,11,16,212,3,5,80
49,798,Despacito,Luis Fonsi,latin,2019,178,80,66,-5,7,84,229,20,15,80
50,434,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,79
51,550,Royals,Lorde,art pop,2013,85,43,67,-10,13,34,190,12,12,79
52,692,Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,47,261,2,10,79
53,776,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,114,79,60,-6,39,24,217,1,7,79
54,439,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,20,279,5,3,78
55,527,Hey Brother,Avicii,big room,2013,125,78,55,-5,8,46,255,3,4,78
56,563,A Sky Full of Stars,Coldplay,permanent wave,2014,125,64,55,-7,22,15,268,1,3,78
57,623,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,78
58,633,Tennessee Whiskey,Chris Stapleton,contemporary country,2015,49,37,39,-11,8,51,293,21,3,78
59,670,24K Magic,Bruno Mars,dance pop,2016,107,80,82,-4,15,63,226,3,8,78
60,690,Human,Rag'n'Bone Man,neo soul,2017,75,71,60,-4,17,55,200,39,30,78
61,712,Supermarket Flowers,Ed Sheeran,pop,2017,90,24,59,-11,9,26,221,91,4,78
62,726,Lost on You,LP,la pop,2017,174,72,43,-6,9,69,268,10,4,78
63,757,High On Life (feat. Bonn),Martin Garrix,big room,2018,128,49,41,-6,11,37,231,1,3,78
64,466,Ni**as In Paris,JAY-Z,east coast hip hop,2011,140,86,79,-6,35,77,219,13,32,77
65,540,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,77
66,548,Mirrors,Justin Timberlake,dance pop,2013,77,51,57,-7,9,51,484,23,5,77
67,567,Take Me to Church,Hozier,irish singer-songwriter,2014,129,66,57,-5,12,44,242,63,5,77
68,416,Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,63,203,0,8,76
69,438,Somebody That I Used To Know,Gotye,australian pop,2011,129,50,86,-7,10,72,245,59,4,76
70,445,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,76
71,469,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
72,534,Let Her Go,Passenger,folk-pop,2013,75,55,48,-7,10,24,253,37,7,76
73,560,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76
74,616,Let It Happen,Tame Impala,australian psych,2015,125,88,60,-6,11,58,468,0,4,76
75,678,Way Down We Go,KALEO,icelandic indie,2016,163,51,49,-8,10,34,214,58,12,76
76,687,What About Us,P!nk,dance pop,2017,114,59,49,-6,9,19,270,3,5,76
77,429,Grenade,Bruno Mars,dance pop,2010,110,56,71,-7,12,23,223,15,6,75
78,435,Set Fire to the Rain,Adele,british soul,2011,108,68,61,-4,13,47,242,0,3,75
79,467,Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,75
80,471,Skinny Love,Birdy,neo mellow,2011,166,29,38,-8,12,17,201,95,5,75
81,519,Little Talks,Of Monsters and Men,folk-pop,2012,103,76,45,-5,15,42,267,2,3,75
82,547,The Monster,Eminem,detroit hip hop,2013,110,85,78,-4,12,62,250,5,7,75
83,591,Superheroes,The Script,celtic rock,2014,167,89,49,-4,7,64,245,0,4,75
84,605,The Sound of Silence,Disturbed,alternative metal,2015,86,28,32,-9,10,18,248,47,3,75
85,656,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,10,70,238,1,7,75
86,702,One More Light,Linkin Park,alternative metal,2017,84,20,59,-11,9,17,255,90,3,75
87,724,Leave a Light On,Tom Walker,indie anthem-folk,2017,69,62,59,-6,13,27,186,2,11,75
88,480,Skyfall - Full Length,Adele,british soul,2012,76,55,35,-7,11,8,286,42,3,74
89,596,Counting Stars,OneRepublic,dance pop,2014,122,71,66,-5,12,48,258,7,4,74
90,604,Let It Go,James Bay,neo mellow,2014,147,31,55,-10,11,25,261,82,3,74
91,624,Adventure of a Lifetime,Coldplay,permanent wave,2015,112,92,64,-4,15,53,264,0,4,74
92,652,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,74
93,660,Dark Necessities,Red Hot Chili Peppers,alternative rock,2016,92,74,70,-7,11,20,302,7,7,74
94,686,Boulevard of Broken Dreams,Green Day,modern rock,2017,167,68,50,-4,6,47,262,1,3,74
95,451,Lonely Boy,The Black Keys,alternative rock,2011,166,87,36,-8,10,61,194,0,7,73
96,464,Give Me Love,Ed Sheeran,pop,2011,116,33,53,-10,11,11,526,69,5,73
97,483,Radioactive,Imagine Dragons,modern rock,2012,136,78,45,-4,67,24,187,11,6,73
98,485,Demons,Imagine Dragons,modern rock,2012,90,71,51,-3,33,43,175,19,3,73
99,488,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,73
100,577,Magic,Coldplay,permanent wave,2014,93,48,74,-9,11,36,285,3,4,73
101,642,Be the One,Dua Lipa,dance pop,2015,87,65,66,-4,6,37,203,12,5,73
102,651,Hello,Adele,british soul,2016,158,45,48,-6,9,29,295,34,3,73
103,654,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,73
104,780,Arcade,Duncan Laurence,dutch pop,2019,72,33,45,-13,14,27,184,82,4,73
105,782,Don't You (Forget About Me),Simple Minds,art rock,2019,111,75,67,-9,29,69,261,8,3,73
106,442,Still Loving You,Scorpions,album rock,2011,104,61,28,-5,10,8,403,0,3,72
107,507,I Won't Give Up,Jason Mraz,acoustic pop,2012,137,30,59,-10,12,14,240,69,4,72
108,541,All I Want,Kodaline,irish pop,2013,86,41,21,-10,8,16,306,17,4,72
109,597,Time After Time,Cyndi Lauper,dance pop,2014,130,44,72,-9,9,32,243,58,3,72
110,792,DEUTSCHLAND,Rammstein,alternative metal,2019,120,90,52,-5,10,24,322,0,4,72
111,470,Lego House,Ed Sheeran,pop,2011,160,64,59,-8,13,56,185,56,10,71
112,612,Chandelier,Sia,australian dance,2015,117,79,40,-3,7,57,216,2,5,71
113,721,Homesick,Dua Lipa,dance pop,2017,86,22,43,-9,11,40,230,95,4,71
114,790,Reünie,Snelle,dutch hip hop,2019,96,35,51,-9,59,51,172,67,15,71
115,495,Madness,Muse,modern rock,2012,180,42,50,-8,11,22,281,13,7,70
116,504,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,70
117,538,Pompeii,Bastille,metropopolis,2013,127,72,68,-6,27,57,214,8,4,70
118,584,L'amour Toujours (Small Mix),Gigi D'Agostino,eurodance,2014,139,88,64,-4,36,74,242,8,3,70
119,600,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,70
120,643,Up&Up,Coldplay,permanent wave,2015,164,72,48,-5,10,25,405,5,6,70
121,673,All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,70
122,779,Roller Coaster,Danny Vera,dutch americana,2019,97,38,40,-10,12,28,270,51,3,70
123,444,Walk,Foo Fighters,alternative metal,2011,138,87,23,-5,29,19,256,0,5,69
124,465,Gold on the Ceiling,The Black Keys,alternative rock,2011,130,83,51,-5,7,56,224,1,5,69
125,489,I Will Wait,Mumford & Sons,modern folk rock,2012,131,76,48,-5,31,45,277,1,3,69
126,542,Addicted To You,Avicii,big room,2013,128,79,57,-4,9,30,148,5,5,69
127,607,Psycho,Muse,modern rock,2015,125,88,56,-3,87,51,317,0,3,69
128,617,Everglow,Coldplay,permanent wave,2015,146,45,54,-9,11,14,283,46,3,69
129,685,Thriller,Michael Jackson,pop,2017,118,89,76,-4,85,72,358,8,7,69
130,704,Freedom! '90 - Remastered,George Michael,dance rock,2017,92,85,68,-11,6,93,391,23,5,69
131,725,Skin,Rag'n'Bone Man,neo soul,2017,171,75,56,-8,15,35,240,27,31,69
132,457,Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,31,241,0,4,68
133,628,"Theme From New York, New York",Frank Sinatra,adult standards,2015,109,59,41,-5,28,56,204,55,3,68
134,630,Budapest,George Ezra,folk-pop,2015,128,46,72,-8,11,39,201,8,3,68
135,635,A Head Full of Dreams,Coldplay,permanent wave,2015,123,92,45,-5,33,8,224,0,7,68
136,722,Beautiful Trauma,P!nk,dance pop,2017,96,62,41,-6,40,23,250,9,7,68
137,729,Duurt Te Lang,Davina Michelle,dutch pop,2018,174,44,64,-14,9,15,154,13,20,68
138,795,Blauwe Dag,Suzan & Freek,dutch pop,2019,98,56,70,-7,28,51,183,25,5,68
139,449,Titanium (feat. Sia),David Guetta,dance pop,2011,126,79,60,-4,13,30,245,7,10,67
140,478,Charlie Brown,Coldplay,permanent wave,2011,138,74,43,-7,33,9,285,2,4,67
